Secao,Titulo,Descrição,Data
mercado-digital,Processo dos EUA contra Apple ataca ecossistema fechado da empresa,"A ação judicial movida na quinta-feira (21) pelo governo dos Estados Unidos contra a Apple tem como alvo os princípios promovidos pela empresa, que construiu seu universo sobre a exclusividade de seus produtos. –...",22/03/24 - 11:42min
mercado-digital,Pesquisadores dinamarqueses desenvolvem algoritmo para prever a vida e a morte,"Um grupo de pesquisadores de uma universidade dinamarquesa desenvolveu um modelo chamado “calculadora da morte”, um algoritmo para prever as fases da vida até o seu fim e que busca mostrar os riscos do...",22/03/24 - 8:50min
mercado-digital,Telescópio Gaia identifica fragmentos da Via Láctea arcaica,"O telescópio espacial Gaia, dedicado ao mapeamento da Via Láctea, identificou grupos de estrelas primitivas no centro da nossa galáxia, que estavam ali quando estava se formando há mais de 12 bilhões de anos,...",21/03/24 - 18:30min
mercado-digital,Paciente vivo recebe o primeiro transplante de rim de porco nos EUA,"Uma equipe de cirurgiões transplantou o rim de um porco geneticamente modificado em um paciente vivo, um novo passo em direção a uma possível solução para a escassez crônica de doações de órgãos. O...",21/03/24 - 15:13min
mercado-digital,ONU pede regulamentação da IA diante de seus riscos,"A Assembleia Geral da ONU aprovou por consenso, nesta quinta-feira (21), uma resolução na qual pede a criação de normas internacionais para regular a explosão da inteligência artificial (IA), que desperta tanto entusiasmo quanto...",21/03/24 - 15:08min
mercado-digital,Lançamento de nave russa Soyuz é cancelado de última hora,"A decolagem de uma nave russa Soyuz MS-25, com três tripulantes a bordo e com destino à Estação Espacial Internacional (ISS), foi cancelada nesta quinta-feira (21) de última hora, anunciou a agência espacial russa...",21/03/24 - 13:27min
mercado-digital,Cúpula em Bruxelas marca o retorno da energia nuclear à agenda global,"Uma reunião de alto perfil em Bruxelas nesta quinta-feira (21) voltou a colocar na agenda global a energia nuclear, defendendo-a como peça fundamental para o abastecimento energético e a luta contra a mudança climática....",21/03/24 - 5:11min
mercado-digital,Neuralink mostra paciente jogando xadrez com implante cerebral,"A Neuralink, startup de neurotecnologia que pertence ao empresário Elon Musk, divulgou na quarta-feira um vídeo que mostra seu primeiro paciente humano jogando xadrez em um computador com sua mente e falando sobre o...",21/03/24 - 2:17min
mercado-digital,Paleontólogos identificam crânio de golfinho de 16 milhões de anos que habitou a Amazônia peruana,Paleontólogos peruanos e estrangeiros apresentaram nesta quarta-feira (20) o crânio de um golfinho gigante que viveu há 16 milhões de anos nos rios da Amazônia peruana. “Tivemos a sorte de encontrar o crânio quase...,20/03/24 - 23:13min
mercado-digital,PF indicia Bolsonaro por fraude em certificados de vacinação contra a covid,"A Polícia Federal (PF) indiciou nesta terça-feira (19) Jair Bolsonaro (PL) por falsificação de certificados de vacinação contra a covid-19, um caso que aumenta a pressão judicial contra o ex-presidente. Os advogados de defesa...",19/03/24 - 22:23min
mercado-digital,Liverpool se interessa pela IA do Google para cobranças de escanteio,"Especialistas do Liverpool colaboraram no desenvolvimento de uma nova ferramenta de inteligência artificial do Google para estudar as melhores táticas a serem seguidas nas cobranças de escanteio, segundo um estudo científico publicado nesta terça-feira...",19/03/24 - 15:52min
mercado-digital,PF indicia Bolsonaro por fraude em cartão de vacinação contra a covid-19,"A Polícia Federal encontrou evidências suficientes para indiciar o ex-presidente Jair Bolsonaro (PL) sobre a falsificação de certificados de vacinação contra a covid-19, segundo um documento da investigação publicado nesta terça-feira (19). Bolsonaro e...",19/03/24 - 14:32min
mercado-digital,USP abre 50 mil vagas para curso gratuito sobre inteligência artificial,"Quatro professores da Universidade de São Paulo (USP), especialistas em inteligência artificial, vão oferecer um curso introdutório gratuito para qualquer pessoa que deseje explorar conceitos básicos desse campo do conhecimento. A expectativa é de...",19/03/24 - 11:36min
mercado-digital,Estudo descarta lesões cerebrais importantes por Síndrome de Havana,"Pessoas que afirmam sofrer da Síndrome de Havana, um distúrbio inexplicável que afetou dezenas de diplomatas americanos, passaram por testes médicos que não revelaram lesões cerebrais importantes, de acordo com um estudo de uma...",18/03/24 - 18:09min
mercado-digital,Nvidia anuncia criação do microchip de IA ‘mais avançado’ do mundo,"A Nvidia apresentou, nesta segunda-feira (18), seu último microchip destinado a acompanhar a revolução da inteligência artificial (IA), batizado “Blackwell”, enquanto busca se consolidar como o principal fornecedor destes componentes essenciais para o mundo...",18/03/24 - 18:06min
mercado-digital,Como a terapia genética mudou a vida dos pacientes com doença falciforme,"Suas histórias são divididas entre o antes e depois do tratamento. Primeiro, longos anos de doença, muitas vezes muito dolorosa. Por fim, o que parece ser o milagre da vida sem a doença falciforme....",18/03/24 - 10:08min
